design_id,role,role_key,language,prompt_text,status,sample_wav,notes
design_0001,系统,系统,zh,neutral clear narrator-like voice,pending,,
design_0002,老杂役,老杂役,zh,neutral clear narrator-like voice,pending,,
design_0003,记名弟子,记名弟子,zh,neutral clear narrator-like voice,pending,,
design_0004,接引弟子,接引弟子,zh,neutral clear narrator-like voice,pending,,
design_0005,秦宇,秦宇,zh,neutral clear narrator-like voice,pending,,
design_0006,弟子令牌,弟子令牌,zh,neutral clear narrator-like voice,pending,,
design_0007,为首的黑衣人,为首的黑衣人,zh,neutral clear narrator-like voice,pending,,
design_0008,黑衣人,黑衣人,zh,neutral clear narrator-like voice,pending,,
design_0009,众弟子,众弟子,zh,neutral clear narrator-like voice,pending,,
design_0010,旁白,旁白,zh,neutral clear narrator-like voice,pending,,
design_0011,路人,路人,zh,neutral clear narrator-like voice,pending,,
design_0012,宗门公告,宗门公告,zh,neutral clear narrator-like voice,pending,,
design_0013,弟子,弟子,zh,neutral clear narrator-like voice,pending,,
design_0014,未知声音,未知声音,zh,neutral clear narrator-like voice,pending,,
design_0015,师尊,师尊,zh,neutral clear narrator-like voice,pending,,
design_0016,补天峰弟子,补天峰弟子,zh,neutral clear narrator-like voice,pending,,
design_0017,圣宗弟子,圣宗弟子,zh,neutral clear narrator-like voice,pending,,
design_0018,神武门弟子,神武门弟子,zh,neutral clear narrator-like voice,pending,,
design_0019,未知修士,未知修士,zh,neutral clear narrator-like voice,pending,,
design_0020,值守弟子,值守弟子,zh,neutral clear narrator-like voice,pending,,
design_0021,太霄镜,太霄镜,zh,neutral clear narrator-like voice,pending,,
design_0022,神武门真人,神武门真人,zh,neutral clear narrator-like voice,pending,,
design_0023,武道天人,武道天人,zh,neutral clear narrator-like voice,pending,,
design_0024,神像,神像,zh,neutral clear narrator-like voice,pending,,
design_0025,修士,修士,zh,neutral clear narrator-like voice,pending,,
design_0026,鸿运,鸿运,zh,neutral clear narrator-like voice,pending,,
design_0027,金丹剑气,金丹剑气,zh,neutral clear narrator-like voice,pending,,
design_0028,听幽教八位长老,听幽教八位长老,zh,neutral clear narrator-like voice,pending,,
design_0029,玉枢剑阁真人,玉枢剑阁真人,zh,neutral clear narrator-like voice,pending,,
design_0030,天吴道庭,天吴道庭,zh,neutral clear narrator-like voice,pending,,
design_0031,众人,众人,zh,neutral clear narrator-like voice,pending,,
design_0032,魂影,魂影,zh,neutral clear narrator-like voice,pending,,
design_0033,作者,作者,zh,neutral clear narrator-like voice,pending,,
design_0034,江西释修,江西释修,zh,neutral clear narrator-like voice,pending,,
design_0035,世尊,世尊,zh,neutral clear narrator-like voice,pending,,
design_0036,释修净土,释修净土,zh,neutral clear narrator-like voice,pending,,
design_0037,金丹真君,金丹真君,zh,neutral clear narrator-like voice,pending,,
